holder_name,held_name,stake_pct,filing_date,entity_type,holder_role,shares_held,held_scrip_code,as_on_date,group
A M MEYYAMMAI,Cholamandalam Financial Holdings Ltd,0.05,2026-07-16,individual,Promoter Group,93150,504973,2026-06-30,Murugappa
A M M VELLAYAN SONS P LTD,Cholamandalam Financial Holdings Ltd,0.02,2026-07-16,corporate,Promoter Group,38430,504973,2026-06-30,Murugappa
DHRUV M ARUNACHALAM,Cholamandalam Financial Holdings Ltd,0.01,2026-07-16,individual,Promoter Group,11000,504973,2026-06-30,Murugappa
M V Seetha Subbiah Benefit trust (M.V.Subbiah & S Vellayan hold shares on behalf of the Trust),Cholamandalam Financial Holdings Ltd,0.01,2026-07-16,corporate,Promoter Group,14500,504973,2026-06-30,Murugappa
PRANAV ALAGAPPAN,Cholamandalam Financial Holdings Ltd,0.01,2026-07-16,individual,Promoter Group,28050,504973,2026-06-30,Murugappa
VALLIAMMAI MURUGAPPAN,Cholamandalam Financial Holdings Ltd,0.01,2026-07-16,individual,Promoter Group,17032,504973,2026-06-30,Murugappa
Valli Subbiah Benefit Trust (S Vellayan & M V Subbiah hold shares on behalf of the Trust),Cholamandalam Financial Holdings Ltd,0.01,2026-07-16,corporate,Promoter Group,14500,504973,2026-06-30,Murugappa
A V NAGALAKSHMI,Cholamandalam Financial Holdings Ltd,0.0,2026-07-16,individual,Promoter Group,3600,504973,2026-06-30,Murugappa
A.KEERTIKA UNNAMALAI,Cholamandalam Financial Holdings Ltd,0.0,2026-07-16,individual,Promoter Group,500,504973,2026-06-30,Murugappa
CARBORUNDUM UNIVERSAL LIMITED,Cholamandalam Financial Holdings Ltd,0.0,2026-07-16,corporate,Promoter,1000,504973,2026-06-30,Murugappa
LAKSHMI VENKATACHALAM,Cholamandalam Financial Holdings Ltd,0.0,2026-07-16,individual,Promoter Group,1200,504973,2026-06-30,Murugappa
M M VENKATACHALAM,Cholamandalam Financial Holdings Ltd,0.0,2026-07-16,individual,Promoter,4000,504973,2026-06-30,Murugappa
M.M.MUTHIAH SONS PRIVATE LTD,Cholamandalam Financial Holdings Ltd,0.0,2026-07-16,corporate,Promoter Group,4200,504973,2026-06-30,Murugappa
MEENAKSHI MURUGAPPAN,Cholamandalam Financial Holdings Ltd,0.0,2026-07-16,individual,Promoter Group,70,504973,2026-06-30,Murugappa
SOLACHI RAMANATHAN,Cholamandalam Financial Holdings Ltd,0.0,2026-07-16,individual,Promoter Group,8500,504973,2026-06-30,Murugappa
UMA RAMANATHAN,Cholamandalam Financial Holdings Ltd,0.0,2026-07-16,individual,Promoter Group,2000,504973,2026-06-30,Murugappa
V VASANTHA,Cholamandalam Financial Holdings Ltd,0.0,2026-07-16,individual,Promoter Group,2300,504973,2026-06-30,Murugappa
Cholamandalam Financial Holdings Limited,Cholamandalam Investment and Finance Company Ltd,43.74,2026-07-20,corporate,Promoter,372885889,511243,2026-06-30,Murugappa
Ambadi Investments Limited,Cholamandalam Investment and Finance Company Ltd,3.96,2026-07-20,corporate,Promoter,33721870,511243,2026-06-30,Murugappa
NPS TRUST A/C (Through Multiple Schemes),Cholamandalam Investment and Finance Company Ltd,2.77,2026-07-20,corporate,Public (>1%),23575659,511243,2026-06-30,Murugappa
SBI NIFTY 500 INDEX FUND A/C (Through Multiple Schemes),Cholamandalam Investment and Finance Company Ltd,2.01,2026-07-20,corporate,Public (>1%),17146182,511243,2026-06-30,Murugappa
AXIS MUTUAL FUND TRUSTEE LTD. A/C (Through Multiple Schemes),Cholamandalam Investment and Finance Company Ltd,1.98,2026-07-20,corporate,Public (>1%),16876740,511243,2026-06-30,Murugappa
KOTAK MAHINDRA TRUSTEE CO LTD A/C (Through Multiple Schemes),Cholamandalam Investment and Finance Company Ltd,1.39,2026-07-20,corporate,Public (>1%),11869234,511243,2026-06-30,Murugappa
GOVERNMENT PENSION FUND GLOBAL,Cholamandalam Investment and Finance Company Ltd,1.38,2026-07-20,corporate,Public (>1%),11796871,511243,2026-06-30,Murugappa
ICICI PRUDENTIAL MUTUAL FUND A/C (Through Multiple Schemes),Cholamandalam Investment and Finance Company Ltd,1.28,2026-07-20,corporate,Public (>1%),10939510,511243,2026-06-30,Murugappa
HDFC TRUSTEE COMPANY LTD A/C (Through Multiple Schemes),Cholamandalam Investment and Finance Company Ltd,1.22,2026-07-20,corporate,Public (>1%),10414778,511243,2026-06-30,Murugappa
INVESCO INDIA FOCUSED FUND (Through Multiple Schemes),Cholamandalam Investment and Finance Company Ltd,1.06,2026-07-20,corporate,Public (>1%),9046737,511243,2026-06-30,Murugappa
M.A.Alagappan,Cholamandalam Investment and Finance Company Ltd,0.29,2026-07-20,individual,Promoter,2488760,511243,2026-06-30,Murugappa
"Shambho Trust (M V Subbiah & S Vellayan,Trustees holds shares for Trust)",Cholamandalam Investment and Finance Company Ltd,0.16,2026-07-20,corporate,Promoter Group,1350284,511243,2026-06-30,Murugappa
Arun Alagappan,Cholamandalam Investment and Finance Company Ltd,0.1,2026-07-20,individual,Promoter,865000,511243,2026-06-30,Murugappa
"Saraswathi Trust (M V Subbiah, S Vellayan & M V Seetha Subbiah, Trustees holds shares for Trust)",Cholamandalam Investment and Finance Company Ltd,0.09,2026-07-20,corporate,Promoter Group,779785,511243,2026-06-30,Murugappa
A Venkatachalam,Cholamandalam Investment and Finance Company Ltd,0.06,2026-07-20,individual,Promoter,493990,511243,2026-06-30,Murugappa
AR Lakshmi Achi Trust,Cholamandalam Investment and Finance Company Ltd,0.06,2026-07-20,corporate,Promoter Group,477145,511243,2026-06-30,Murugappa
Lakshmi Ramaswamy Family Trust(A A Alagammai & Lakshmi Ramaswamy Trustees holds shares for Trust),Cholamandalam Investment and Finance Company Ltd,0.06,2026-07-20,corporate,Promoter Group,550630,511243,2026-06-30,Murugappa
Arun Venkatachalam,Cholamandalam Investment and Finance Company Ltd,0.05,2026-07-20,individual,Promoter,410750,511243,2026-06-30,Murugappa
V Arunachalam,Cholamandalam Investment and Finance Company Ltd,0.05,2026-07-20,individual,Promoter,452598,511243,2026-06-30,Murugappa
V Narayanan,Cholamandalam Investment and Finance Company Ltd,0.05,2026-07-20,individual,Promoter,464082,511243,2026-06-30,Murugappa
M.A.Alagappan (Holds shares in the capacity of Partner of Kadamane Estates - Firm),Cholamandalam Investment and Finance Company Ltd,0.04,2026-07-20,individual,Promoter,355850,511243,2026-06-30,Murugappa
Pranav Alagappan,Cholamandalam Investment and Finance Company Ltd,0.04,2026-07-20,individual,Promoter Group,311440,511243,2026-06-30,Murugappa
Ambadi Enterprises Ltd,Cholamandalam Investment and Finance Company Ltd,0.03,2026-07-20,corporate,Promoter,291380,511243,2026-06-30,Murugappa
"M V Muthiah Family Trust (M M Venkatachalam & M V Muthiah, Trustees holds shares for Trust)",Cholamandalam Investment and Finance Company Ltd,0.03,2026-07-20,corporate,Promoter Group,294130,511243,2026-06-30,Murugappa
"M V Seetha Subbiah Benefit Trust (M V Subbiah & S Vellayan, Trustees holds shares for Trust)",Cholamandalam Investment and Finance Company Ltd,0.03,2026-07-20,corporate,Promoter Group,264000,511243,2026-06-30,Murugappa
"M V Subramanian Family Trust (M M Venkatachalam & M V Subramanian, Trustees holds shares for Trust)",Cholamandalam Investment and Finance Company Ltd,0.03,2026-07-20,corporate,Promoter Group,294130,511243,2026-06-30,Murugappa
Valli Annamalai,Cholamandalam Investment and Finance Company Ltd,0.03,2026-07-20,individual,Promoter Group,296890,511243,2026-06-30,Murugappa
Arun Murugappan ChildrenTrust(MAM Arunachalam & Sigappi Arunachalam Trustees holds shares for Trust,Cholamandalam Investment and Finance Company Ltd,0.02,2026-07-20,corporate,Promoter Group,141160,511243,2026-06-30,Murugappa
"K S Shambhavi Trust (M V Subbiah & S Vellayan, Trustees holds shares for Trust)",Cholamandalam Investment and Finance Company Ltd,0.02,2026-07-20,corporate,Promoter Group,158765,511243,2026-06-30,Murugappa
Lalitha Vellayan,Cholamandalam Investment and Finance Company Ltd,0.02,2026-07-20,individual,Promoter Group,139630,511243,2026-06-30,Murugappa
M A M Arunachalam,Cholamandalam Investment and Finance Company Ltd,0.02,2026-07-20,individual,Promoter,165752,511243,2026-06-30,Murugappa
M M Murugappan Family Trust (M M Murugappan & Meenakshi Murugappan Trustees holds shares forTrust,Cholamandalam Investment and Finance Company Ltd,0.02,2026-07-20,corporate,Promoter Group,133000,511243,2026-06-30,Murugappa
M.M.Muthiah Research Foundation,Cholamandalam Investment and Finance Company Ltd,0.02,2026-07-20,corporate,Promoter Group,141750,511243,2026-06-30,Murugappa
"MA.Alagappan Grand Children Trust (Arun Alagappan & AA Alagammai, Trustees holds shares for Trust)",Cholamandalam Investment and Finance Company Ltd,0.02,2026-07-20,corporate,Promoter Group,157250,511243,2026-06-30,Murugappa
"V S Bhairavi Trust (M V Subbiah & Subbiah Vellayan, Trustees holds shares for Trust)",Cholamandalam Investment and Finance Company Ltd,0.02,2026-07-20,corporate,Promoter Group,192246,511243,2026-06-30,Murugappa
"Valli Subbiah Benefit Trust (Subbiah Vellayan & M.V.Subbiah, Trustees holds shares for Trust)",Cholamandalam Investment and Finance Company Ltd,0.02,2026-07-20,corporate,Promoter Group,199278,511243,2026-06-30,Murugappa
A. Keertika Unnamalai,Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,individual,Promoter Group,108881,511243,2026-06-30,Murugappa
Dhruv M Arunachalam,Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,individual,Promoter Group,50000,511243,2026-06-30,Murugappa
Kanika Subbiah,Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,individual,Promoter Group,67000,511243,2026-06-30,Murugappa
Lakshmi Chockalingam,Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,individual,Promoter Group,103125,511243,2026-06-30,Murugappa
M A Alagappan Holdings Private Limited,Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,corporate,Promoter Group,112700,511243,2026-06-30,Murugappa
"M M Muthiah Family Trust (M M Murugappan, M M Muthiah, Trustees holds shares for Trust)",Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,corporate,Promoter Group,46620,511243,2026-06-30,Murugappa
M M Veerappan Family Trust (M M Murugappan & Meenakshi Murugappan Trustees holds shares for Trust),Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,corporate,Promoter Group,46055,511243,2026-06-30,Murugappa
MA Murugappan Holdings LLP (M A Murugappan Holdings Private Ltd was converted its status to LLP),Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,corporate,Promoter Group,75000,511243,2026-06-30,Murugappa
Meyyammai Venkatachalam,Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,individual,Promoter Group,50255,511243,2026-06-30,Murugappa
"Murugappan Arunachalam Children Trust(Sigappi Arunachalam,MAM Arunachalam, AM Meyammai are Trustees",Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,corporate,Promoter Group,74405,511243,2026-06-30,Murugappa
R.Muthatha,Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,individual,Promoter Group,94195,511243,2026-06-30,Murugappa
Sigapi Arunachalam,Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,individual,Promoter Group,74255,511243,2026-06-30,Murugappa
Vedika Meyyammai Arunachalam,Cholamandalam Investment and Finance Company Ltd,0.01,2026-07-20,individual,Promoter Group,108280,511243,2026-06-30,Murugappa
A A Alagammai,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,individual,Promoter Group,2894,511243,2026-06-30,Murugappa
A M M Vellayan Sons P Ltd,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,corporate,Promoter Group,27030,511243,2026-06-30,Murugappa
A M Meyyammai,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,individual,Promoter Group,25188,511243,2026-06-30,Murugappa
A V Nagalakshmi,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,individual,Promoter Group,15960,511243,2026-06-30,Murugappa
Carborundum Universal Limited,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,corporate,Promoter,500,511243,2026-06-30,Murugappa
E.I.D. Parry (India) Ltd.,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,corporate,Promoter,1965,511243,2026-06-30,Murugappa
M A M Arunachalam HUF (M A M Arunachalam is the Karta of HUF),Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,individual,Promoter,38,511243,2026-06-30,Murugappa
M M Murugappan,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,individual,Promoter,21035,511243,2026-06-30,Murugappa
M V Subbiah HUF (M V Subbiah holds shares in the capacity of Karta),Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,individual,Promoter,10000,511243,2026-06-30,Murugappa
Meenakshi Murugappan,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,individual,Promoter Group,245,511243,2026-06-30,Murugappa
"Meenakshi Murugappan Family Trust (M M Murugappan & Meenakshi Murugappan, Trustees for Trust)",Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,corporate,Promoter Group,25000,511243,2026-06-30,Murugappa
Murugappa Educational and Medical Foundation,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,corporate,Promoter Group,1965,511243,2026-06-30,Murugappa
Parry Enterprises India Ltd,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,corporate,Promoter Group,1965,511243,2026-06-30,Murugappa
Solachi Ramanathan,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,individual,Promoter Group,20000,511243,2026-06-30,Murugappa
Uma Ramanathan,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,individual,Promoter Group,23500,511243,2026-06-30,Murugappa
V Vasantha,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,individual,Promoter Group,1250,511243,2026-06-30,Murugappa
VALLIAMMAI MURUGAPPAN,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,individual,Promoter Group,12890,511243,2026-06-30,Murugappa
Valli Alagappan,Cholamandalam Investment and Finance Company Ltd,0.0,2026-07-20,individual,Promoter Group,5215,511243,2026-06-30,Murugappa
E.I.D.PARRY (INDIA) Limited,Coromandel International Ltd,55.58,2026-07-21,corporate,Promoter,163955580,506395,2026-06-30,Murugappa
KOTAK MAHINDRA TRUSTEE CO LTD A/C KOTAK NIFTY CHEM,Coromandel International Ltd,4.02,2026-07-21,corporate,Public (>1%),11862149,506395,2026-06-30,Murugappa
DSP NIFTY 500 INDEX FUND,Coromandel International Ltd,2.53,2026-07-21,corporate,Public (>1%),7478226,506395,2026-06-30,Murugappa
HDFC LARGE AND MID CAP FUND,Coromandel International Ltd,1.87,2026-07-21,corporate,Public (>1%),5506379,506395,2026-06-30,Murugappa
GROUPE CHIMIQUE TUNISIEN,Coromandel International Ltd,1.63,2026-07-21,corporate,Public (>1%),4800000,506395,2026-06-30,Murugappa
AXIS ELSS TAX SAVER FUND,Coromandel International Ltd,1.6,2026-07-21,corporate,Public (>1%),4734771,506395,2026-06-30,Murugappa
INVESTOR EDUCATION AND PROTECTION FUND,Coromandel International Ltd,1.43,2026-07-21,corporate,Public (>1%),4209337,506395,2026-06-30,Murugappa
NPS TRUST A/C UTI PENSION FUND LIMITED-SCHEME CENT,Coromandel International Ltd,1.33,2026-07-21,corporate,Public (>1%),3934154,506395,2026-06-30,Murugappa
LICI MARKET PLUS 1 GROWTH FUND,Coromandel International Ltd,1.31,2026-07-21,corporate,Public (>1%),3873104,506395,2026-06-30,Murugappa
M M Muthiah Family Trust(M M Murugappan & M M Muthiah holds shares on behalf of Trust),Coromandel International Ltd,0.07,2026-07-21,corporate,Promoter Group,218520,506395,2026-06-30,Murugappa
M M Veerappan Family Trust (M M Murugappan & Meenakshi Murugappan holds shares on behalf of Trust),Coromandel International Ltd,0.07,2026-07-21,corporate,Promoter Group,218520,506395,2026-06-30,Murugappa
V ARUNACHALAM,Coromandel International Ltd,0.07,2026-07-21,individual,Promoter,205912,506395,2026-06-30,Murugappa
V NARAYANAN,Coromandel International Ltd,0.07,2026-07-21,individual,Promoter,211512,506395,2026-06-30,Murugappa
ARUN VENKATACHALAM,Coromandel International Ltd,0.05,2026-07-21,individual,Promoter,157010,506395,2026-06-30,Murugappa
A VENKATACHALAM,Coromandel International Ltd,0.04,2026-07-21,individual,Promoter,113431,506395,2026-06-30,Murugappa
ARUN ALAGAPPAN,Coromandel International Ltd,0.04,2026-07-21,individual,Promoter,103340,506395,2026-06-30,Murugappa
LALITHA VELLAYAN,Coromandel International Ltd,0.04,2026-07-21,individual,Promoter Group,103400,506395,2026-06-30,Murugappa
Lakshmi Ramaswamy Family Trust (A A Alagammai & Lakshmi Ramaswamy holds shares on behalf of Trust,Coromandel International Ltd,0.04,2026-07-21,corporate,Promoter Group,109900,506395,2026-06-30,Murugappa
M A M ARUNACHALAM,Coromandel International Ltd,0.04,2026-07-21,individual,Promoter,107556,506395,2026-06-30,Murugappa
"Saraswathi Trust (M V Subbiah, S Vellayan, M V Seetha Subbiah holds shares on behalf of Trust)",Coromandel International Ltd,0.04,2026-07-21,corporate,Promoter Group,103273,506395,2026-06-30,Murugappa
MEYYAMMAI VENKATACHALAM,Coromandel International Ltd,0.03,2026-07-21,individual,Promoter Group,80800,506395,2026-06-30,Murugappa
M V Muthiah Family Trust (M M Venkatachalam and M V Muthiah hold shares on behalf of Trust),Coromandel International Ltd,0.02,2026-07-21,corporate,Promoter Group,65472,506395,2026-06-30,Murugappa
M V Subramanian Family Trust (M M Venkatachalam & M V Subramanian hold shares on behalf of Trust),Coromandel International Ltd,0.02,2026-07-21,corporate,Promoter Group,65472,506395,2026-06-30,Murugappa
SIGAPI ARUNACHALAM,Coromandel International Ltd,0.02,2026-07-21,individual,Promoter Group,63580,506395,2026-06-30,Murugappa
VALLI ANNAMALAI,Coromandel International Ltd,0.02,2026-07-21,individual,Promoter Group,64965,506395,2026-06-30,Murugappa
AR. Lakshmi Achi Trust,Coromandel International Ltd,0.01,2026-07-21,corporate,Promoter Group,25140,506395,2026-06-30,Murugappa
Arun Murugappan Children'sTrust (M A M Arunachalam & Sigappi Arunachalam are Trustees),Coromandel International Ltd,0.01,2026-07-21,corporate,Promoter Group,15000,506395,2026-06-30,Murugappa
LAKSHMI CHOCKALINGAM,Coromandel International Ltd,0.01,2026-07-21,individual,Promoter Group,36520,506395,2026-06-30,Murugappa
"M M Venkatachalam Family Trust, (M M Venkatachalam & Lakshmi Venkatachalam are Trustees)",Coromandel International Ltd,0.01,2026-07-21,corporate,Promoter Group,40101,506395,2026-06-30,Murugappa
M.A.ALAGAPPAN,Coromandel International Ltd,0.01,2026-07-21,individual,Promoter,34298,506395,2026-06-30,Murugappa
M.A.Alagappan Grand Children Trust (Arun Alagappan & A A Alagammai holds shares on behalf of Trust),Coromandel International Ltd,0.01,2026-07-21,corporate,Promoter Group,17000,506395,2026-06-30,Murugappa
Shambho Trust (M V Subbiah and S Vellayan holds shares on behalf of Trust),Coromandel International Ltd,0.01,2026-07-21,corporate,Promoter Group,39048,506395,2026-06-30,Murugappa
A M M Vellayan Sons P Limited,Coromandel International Ltd,0.0,2026-07-21,corporate,Promoter Group,6745,506395,2026-06-30,Murugappa
A M MEYYAMMAI,Coromandel International Ltd,0.0,2026-07-21,individual,Promoter Group,7224,506395,2026-06-30,Murugappa
Ambadi Investments Limited,Coromandel International Ltd,0.0,2026-07-21,corporate,Promoter,7453,506395,2026-06-30,Murugappa
Carborundum Universal Limited,Coromandel International Ltd,0.0,2026-07-21,corporate,Promoter,330,506395,2026-06-30,Murugappa
DHRUV M ARUNACHALAM,Coromandel International Ltd,0.0,2026-07-21,individual,Promoter Group,10600,506395,2026-06-30,Murugappa
Kadamane Estates Company (M A Alagappan hold shares on behalf of the firm),Coromandel International Ltd,0.0,2026-07-21,corporate,Promoter Group,4540,506395,2026-06-30,Murugappa
M M Murugappan Family Trust (M M Murugappan & Meenakshi Murugappan hold shares on behalf of Trust),Coromandel International Ltd,0.0,2026-07-21,corporate,Promoter Group,3300,506395,2026-06-30,Murugappa
M V Seetha Subbiah Benefit Trust (M V Subbiah & Subbiah Vellayan holds shares on behalf of Trust),Coromandel International Ltd,0.0,2026-07-21,corporate,Promoter Group,8500,506395,2026-06-30,Murugappa
M.M. Muthiah Sons Private Limited,Coromandel International Ltd,0.0,2026-07-21,corporate,Promoter Group,90,506395,2026-06-30,Murugappa
MEENAKSHI MURUGAPPAN,Coromandel International Ltd,0.0,2026-07-21,individual,Promoter Group,90,506395,2026-06-30,Murugappa
"MurugappanArunachalamChildrenTrust(SigappiArunachalam,MAMArunachalam&AM MeyyammaiareTrustees)",Coromandel International Ltd,0.0,2026-07-21,corporate,Promoter Group,330,506395,2026-06-30,Murugappa
Muthatha Ramanathan (Legal heir of Late UMAYAL.R),Coromandel International Ltd,0.0,2026-07-21,individual,Promoter Group,7466,506395,2026-06-30,Murugappa
PRANAV ALAGAPPAN,Coromandel International Ltd,0.0,2026-07-21,individual,Promoter Group,13295,506395,2026-06-30,Murugappa
SOLACHI RAMANATHAN,Coromandel International Ltd,0.0,2026-07-21,individual,Promoter Group,3600,506395,2026-06-30,Murugappa
UMA RAMANATHAN,Coromandel International Ltd,0.0,2026-07-21,individual,Promoter Group,2000,506395,2026-06-30,Murugappa
V VASANTHA,Coromandel International Ltd,0.0,2026-07-21,individual,Promoter Group,2500,506395,2026-06-30,Murugappa
VALLIAMMAI MURUGAPPAN,Coromandel International Ltd,0.0,2026-07-21,individual,Promoter Group,1832,506395,2026-06-30,Murugappa
Valli Subbiah Benefit Trust (Subbiah Vellayan & M V Subbiah holds shares on behalf of Trust),Coromandel International Ltd,0.0,2026-07-21,corporate,Promoter Group,8500,506395,2026-06-30,Murugappa
AMBADI INVESTMENTS LIMITED,EID Parry India Ltd,38.24,2026-09-11,corporate,Promoter,68058444,500125,2026-06-30,Murugappa
SBI NIFTY 500 INDEX FUND,EID Parry India Ltd,7.11,2026-09-11,corporate,Public (>1%),12647418,500125,2026-06-30,Murugappa
PARAG PARIKH FLEXI CAP FUND,EID Parry India Ltd,5.89,2026-09-11,corporate,Public (>1%),10479279,500125,2026-06-30,Murugappa
GOVINDLAL M PARIKH,EID Parry India Ltd,2.53,2026-09-11,individual,Public (>1%),4509457,500125,2026-06-30,Murugappa
HITESH SATISHCHANDRA DOSHI,EID Parry India Ltd,2.21,2026-09-11,individual,Public (>1%),3929844,500125,2026-06-30,Murugappa
CANARA ROBECO MUTUAL FUND A/C GAD,EID Parry India Ltd,1.15,2026-09-11,corporate,Public (>1%),2054646,500125,2026-06-30,Murugappa
V NARAYANAN,EID Parry India Ltd,0.26,2026-09-11,individual,Promoter,453863,500125,2026-06-30,Murugappa
V ARUNACHALAM,EID Parry India Ltd,0.25,2026-09-11,individual,Promoter,438573,500125,2026-06-30,Murugappa
A VENKATACHALAM,EID Parry India Ltd,0.23,2026-09-11,individual,Promoter,412193,500125,2026-06-30,Murugappa
ARUN ALAGAPPAN,EID Parry India Ltd,0.23,2026-09-11,individual,Promoter,408820,500125,2026-06-30,Murugappa
ARUN VENKATACHALAM,EID Parry India Ltd,0.2,2026-09-11,individual,Promoter,348540,500125,2026-06-30,Murugappa
A A ALAGAMMAI(A A Alagammai & Lakshmi Ramaswamy holds behalf of the Lakshmi Ramaswamy Family Trust),EID Parry India Ltd,0.18,2026-09-11,corporate,Promoter Group,323700,500125,2026-06-30,Murugappa
M.A.ALAGAPPAN,EID Parry India Ltd,0.12,2026-09-11,individual,Promoter,210000,500125,2026-06-30,Murugappa
Shambho Trust (M V Subbiah & S Vellayan hold shares on behalf of the Trust),EID Parry India Ltd,0.12,2026-09-11,corporate,Promoter Group,219882,500125,2026-06-30,Murugappa
M M MURUGAPPAN (M M Murugappan & M M Muthiah holds shares on behalf of M M Muthiah Family Trust),EID Parry India Ltd,0.11,2026-09-11,corporate,Promoter Group,192610,500125,2026-06-30,Murugappa
M M MURUGAPPAN (M M Murugappan & Meenakshi Murugappan holds on behalf of M M Veerappan Family Trust),EID Parry India Ltd,0.11,2026-09-11,corporate,Promoter Group,200610,500125,2026-06-30,Murugappa
MEYYAMMAI VENKATACHALAM,EID Parry India Ltd,0.11,2026-09-11,individual,Promoter Group,204420,500125,2026-06-30,Murugappa
SIGAPI ARUNACHALAM,EID Parry India Ltd,0.1,2026-09-11,individual,Promoter Group,175950,500125,2026-06-30,Murugappa
"Saraswathi Trust (M V Subbiah, S Vellayan and M V Seetha Subbiah hold shares on behalf of the Trust)",EID Parry India Ltd,0.09,2026-09-11,corporate,Promoter Group,152898,500125,2026-06-30,Murugappa
M M VENKATACHALAM (M M Venkatachalam & M V Muthiah holds on behalf of M V Muthiah Family Trust),EID Parry India Ltd,0.08,2026-09-11,corporate,Promoter Group,133928,500125,2026-06-30,Murugappa
M M VENKATACHALAM(M M Venkatachalam & M V Subramanian holds behalf of M V Subramanian Family Trust),EID Parry India Ltd,0.08,2026-09-11,corporate,Promoter Group,133928,500125,2026-06-30,Murugappa
Meenakshi Murugappan Fly Trust (M M Murugappan & Meenakshi Murugappan hold behalf of the Trust),EID Parry India Ltd,0.08,2026-09-11,corporate,Promoter Group,150000,500125,2026-06-30,Murugappa
VALLI ANNAMALAI,EID Parry India Ltd,0.08,2026-09-11,individual,Promoter Group,144981,500125,2026-06-30,Murugappa
Lakshmi Venkatachalam Fly Trust (M M Venkatachalam & Lakshmi Venkatachalam hold behalf of the Trust),EID Parry India Ltd,0.07,2026-09-11,corporate,Promoter Group,132817,500125,2026-06-30,Murugappa
M A MURUGAPPAN HOLDINGS LLP (Formerly M A MURUGAPPAN HOLDINGS PVT LTD),EID Parry India Ltd,0.07,2026-09-11,corporate,Promoter Group,125500,500125,2026-06-30,Murugappa
M M Venkatachalam Fly Trust (M M Venkatachalam & Lakshmi Venkatachalam hold behalf of the Trust),EID Parry India Ltd,0.07,2026-09-11,corporate,Promoter Group,132817,500125,2026-06-30,Murugappa
M A ALAGAPPAN HOLDINGS PRIVATE LIMITED,EID Parry India Ltd,0.06,2026-09-11,corporate,Promoter Group,110500,500125,2026-06-30,Murugappa
AR Lakshmi Achi Trust,EID Parry India Ltd,0.05,2026-09-11,corporate,Promoter Group,95430,500125,2026-06-30,Murugappa
M A M ARUNACHALAM,EID Parry India Ltd,0.05,2026-09-11,individual,Promoter,86008,500125,2026-06-30,Murugappa
LAKSHMI CHOCKA LINGAM,EID Parry India Ltd,0.04,2026-09-11,individual,Promoter Group,73376,500125,2026-06-30,Murugappa
ARUN ALAGAPPAN (Arun Alagappan&AA Alagammai holds behalf of MA Alagappan Grand Children Trust),EID Parry India Ltd,0.02,2026-09-11,individual,Promoter Group,42000,500125,2026-06-30,Murugappa
M A M ARUNACHALAM(MAM Arunachalam&Sigappi Arunachalam behalf of Arun Murugappan Childiren's Trust),EID Parry India Ltd,0.02,2026-09-11,individual,Promoter Group,42000,500125,2026-06-30,Murugappa
M M MURUGAPPAN,EID Parry India Ltd,0.02,2026-09-11,individual,Promoter,27670,500125,2026-06-30,Murugappa
R.MUTHATHA,EID Parry India Ltd,0.02,2026-09-11,individual,Promoter Group,33816,500125,2026-06-30,Murugappa
A M M VELLAYAN SONS P LTD,EID Parry India Ltd,0.01,2026-09-11,corporate,Promoter Group,15500,500125,2026-06-30,Murugappa
A M MEYYAMMAI,EID Parry India Ltd,0.01,2026-09-11,individual,Promoter Group,23752,500125,2026-06-30,Murugappa
DHRUV M ARUNACHALAM,EID Parry India Ltd,0.01,2026-09-11,individual,Promoter Group,11000,500125,2026-06-30,Murugappa
Kadamane Estates Company (Shares held by M.A.Alagappan in the capacity of Partner in the firm),EID Parry India Ltd,0.01,2026-09-11,corporate,Promoter Group,13640,500125,2026-06-30,Murugappa
